ID,Group1,Group2,p,padj,log2
OTU228,0.000119791,0.00389255,0.059768442,0.059768442,5.022118346
OTU272,0.136733209,0.040160447,0.060566373,0.060566373,-1.767516448
OTU16,0.066014161,0.128807119,0.061777986,0.061777986,0.964364884
OTU238,0.004363848,0.029874157,0.06348923,0.06348923,2.775225193
OTU20,0.21947081,0.870881713,0.064037417,0.064037417,1.988447708
OTU254,8.91E-05,0.004668603,0.064444959,0.064444959,5.711038272
OTU433,0.005267569,0.017234206,0.06528685,0.06528685,1.710065552
OTU547,0.00571621,0.013958774,0.066647444,0.066647444,1.288041448
OTU452,0.084524699,0.025910158,0.066760501,0.066760501,-1.705855162
OTU315,0.002789713,0.007632343,0.067182698,0.067182698,1.452009238
OTU138,0.009146334,0.000425263,0.06871556,0.06871556,-4.426766477
OTU379,0.002082524,0.010866374,0.071434216,0.071434216,2.383465883
OTU356,0.014024424,0.002693229,0.072633003,0.072633003,-2.380532818
OTU560,0.015853166,0.03012284,0.073035344,0.073035344,0.92608679
OTU447,0.042090958,0.117523482,0.073932628,0.073932628,1.4813668
OTU131,0.008481966,0.024652047,0.074587641,0.074587641,1.539236795
OTU3651,0.0191272,0.006243659,0.076228117,0.076228117,-1.615161959
OTU822,0.003318137,0.007462453,0.07638389,0.07638389,1.169276459
OTU30,1.108584125,0.676139244,0.076483438,0.076483438,-0.713325962
OTU107,0.005939799,0.015862144,0.0775574,0.0775574,1.417101748
OTU276,0.005833954,0.015267055,0.083163366,0.083163366,1.38787581
OTU3707,0.00222892,0.007392628,0.083922572,0.083922572,1.729742707
OTU652,0.085194485,0.04940408,0.083960614,0.083960614,-0.78612984
OTU343,0.054533012,0.018602139,0.084730046,0.084730046,-1.551661319
OTU309,0.004058228,8.97E-05,0.085352954,0.085352954,-5.49900387
OTU740,0.002702052,0.007935055,0.085357127,0.085357127,1.554184717
OTU2611,0.018408038,0.044353094,0.08932552,0.08932552,1.268698912
OTU505,0.003327388,0.009223141,0.089883637,0.089883637,1.470868128
OTU128,0.270142665,0.066197618,0.091577388,0.091577388,-2.028870294
OTU275,0.003340936,0.000164847,0.094154056,0.094154056,-4.341054775
OTU2365,0.008306524,0.038833461,0.094932099,0.094932099,2.224983593
OTU72,0.248989924,0.668834958,0.095380407,0.095380407,1.425562893
OTU88,0.015579146,0.003663673,0.095961437,0.095961437,-2.088253495
OTU205,0.052192395,0.088847327,0.098247519,0.098247519,0.767488752
OTU190,0.00230722,0.023867584,0.098454456,0.098454456,3.370824972
OTU81,0.06557628,0.116275578,0.098938312,0.098938312,0.826302143
OTU114,0.004211853,0.000902716,0.099518164,0.099518164,-2.222110609
OTU2513,0.022107334,0.00696497,0.102278023,0.102278023,-1.666335971
OTU392,0.047966333,0.006125815,0.102469683,0.102469683,-2.969048549
OTU140,0.061496695,0.123012243,0.103679553,0.103679553,1.000221128
OTU424,0.000565781,0.004698342,0.10382474,0.10382474,3.053835848
OTU572,0.000579951,0.002918426,0.105004976,0.105004976,2.331187406
OTU176,0.042334704,0.011252765,0.105032432,0.105032432,-1.911561266
OTU1728,0.003732448,0.014896434,0.106110311,0.106110311,1.996772919
OTU18,0.88102853,1.35309119,0.106673862,0.106673862,0.618998427
OTU242,0.000999955,0.005778479,0.106935587,0.106935587,2.530755117
OTU625,0.001636186,0.000600911,0.107196854,0.107196854,-1.445113339
OTU3944,0.040599752,0.004598265,0.109346258,0.109346258,-3.142309502
OTU105,0.463035659,0.26980039,0.109404967,0.109404967,-0.779230867
OTU5660,0.00329049,0.008440319,0.109582944,0.109582944,1.35899499
OTU397,0.00169465,0.005741642,0.111441877,0.111441877,1.760476031
OTU177,0.018297979,0.06358798,0.111587125,0.111587125,1.797069779
OTU486,0.007073202,0.022747133,0.112556983,0.112556983,1.685249358
OTU374,0.007941274,0.036377615,0.112951722,0.112951722,2.195608502
OTU42,2.162121164,1.0348085,0.114397805,0.114397805,-1.063083563
OTU529,0.000174305,0.00418346,0.114529312,0.114529312,4.585007791
OTU306,0.054673583,0.145783644,0.115616642,0.115616642,1.414913051
OTU5550,0.052943851,0.013537742,0.116162496,0.116162496,-1.967476029
OTU80,0.09741632,0.446290764,0.120804931,0.120804931,2.195748559
OTU270,0.01351845,0.023659322,0.120967985,0.120967985,0.807479026
OTU221,0.028675208,0.072388212,0.123244181,0.123244181,1.335950839
OTU340,0.006527096,0.021979739,0.123901976,0.123901976,1.751661022
OTU331,0.001080637,0.006965233,0.123956926,0.123956926,2.688289668
OTU2456,0.008893987,0.022333915,0.124793649,0.124793649,1.328334024
OTU1581,0.007387995,0.021038607,0.127119306,0.127119306,1.509784407
OTU243,0.005741161,0.017261176,0.127323719,0.127323719,1.588116397
OTU2942,0.010202064,0.031461202,0.127401621,0.127401621,1.624712759
OTU3631,0.010565715,0.003564841,0.127925492,0.127925492,-1.567480893
OTU324,0.019446243,0.003250761,0.128607095,0.128607095,-2.580642035
OTU4785,0.008000684,0.004648383,0.128690813,0.128690813,-0.783394245
OTU385,0.01163655,0.001981353,0.128708412,0.128708412,-2.5541059
OTU1005,0.00358204,0.012153835,0.129781054,0.129781054,1.762558285
OTU134,0.001369045,0.00432409,0.130888432,0.130888432,1.659226449
OTU940,0.038800305,0.013711966,0.131396248,0.131396248,-1.500632617
OTU2636,0.002742038,0.005745839,0.132410732,0.132410732,1.067268755
OTU332,0.014289773,0.002405706,0.132524419,0.132524419,-2.570450769
OTU189,0.039476077,0.022739663,0.132980344,0.132980344,-0.795767756
OTU5632,0.003640907,0.007984232,0.133094085,0.133094085,1.132855608
OTU202,0.023638473,0.007950527,0.133347187,0.133347187,-1.572014388
OTU160,0.015585729,0.005703923,0.134984104,0.134984104,-1.450199309
OTU269,0.000282956,0.004405245,0.135015314,0.135015314,3.960571465
OTU298,0.009409015,0.020679997,0.135274915,0.135274915,1.136120355
OTU651,0.051714785,0.02200082,0.137231543,0.137231543,-1.233019522
OTU413,0.009722588,0.00155484,0.138294602,0.138294602,-2.64457406
OTU2639,0.004501535,0.001795602,0.138315703,0.138315703,-1.325949337
OTU4455,0.013384309,0.005033076,0.138589249,0.138589249,-1.411030496
OTU96,0.015552528,0.004050164,0.139229871,0.139229871,-1.941096731
OTU5050,0.005751305,0.010243863,0.139540876,0.139540876,0.832798653
OTU1948,0.00669998,0.01682758,0.141066803,0.141066803,1.328599058
OTU4431,0.003178375,0.008458129,0.14145804,0.14145804,1.412049031
OTU2114,0.002088113,0.008574489,0.14315603,0.14315603,2.037850863
OTU3784,0.003636971,0.007933432,0.144693552,0.144693552,1.125207716
OTU359,0.001432703,0.005220524,0.146757308,0.146757308,1.865454892
OTU726,0.024734529,0.00439236,0.147330028,0.147330028,-2.49345807
OTU303,0.004558704,0.02506423,0.147667189,0.147667189,2.458934395
OTU3867,0.000258227,0.002371134,0.148954714,0.148954714,3.19886481
OTU606,0.00732016,0.013303191,0.149008952,0.149008952,0.861825289
OTU509,0.018117503,0.006055182,0.151480517,0.151480517,-1.581141974
